SNFG	Name	PubChem CID	GlyTouCan	WURCS	Modifier	Color	ColorID	Row	MW	GlycoCT	Primary
L-Glc	L-Glycose	2724488	G16038XU	"WURCS=2.0/1,1,0/[a1211h-1x_1-5]/1/"	L	Blue	1	Filled Circle	180.06	x-lglc-HEX-1:5	1
L-Man	L-Mannose	6321330	G48232PN	"WURCS=2.0/1,1,0/[a2211h-1x_1-5]/1/"	L	Green	2	Filled Circle	180.06	x-lman-HEX-1:5	2
Galf	D-Galactofuranose	15560222	G38028NH	"WURCS=2.0/1,1,0/[a2112h-1x_1-4]/1/"	f	Yellow	3	Filled Circle	180.06	x-dgal-HEX-1:4	3
L-Gal	L-Galactose	12003287	G75623HL	"WURCS=2.0/1,1,0/[a1221h-1x_1-5]/1/"	L	Yellow	3	Filled Circle	180.06	x-lgal-HEX-1:5	3
L-Gul	L-Gulose	10130220	G76432BK	"WURCS=2.0/1,1,0/[a1121h-1x_1-5]/1/"	L	Orange	4	Filled Circle	180.06	x-lgul-HEX-1:5	4
Altf	L-Altrofuranose	69116425	G18982ND	"WURCS=2.0/1,1,0/[a2111h-1x_1-4]/1/"	f	Pink	5	Filled Circle	180.06	x-lalt-HEX-1:4	5
D-Alt	D-Altrose	441032	G65726WP	"WURCS=2.0/1,1,0/[a1222h-1x_1-5]/1/"	D	Pink	5	Filled Circle	180.06	x-dalt-HEX-1:5	5
L-All	L-Allose	12285879	G05939SX	"WURCS=2.0/1,1,0/[a1111h-1x_1-5]/1/"	L	Purple	6	Filled Circle	180.06	x-lall-HEX-1:5	6
6d-All	6-Deoxy-D-Allose	11126599	G04438VY	"WURCS=2.0/1,1,0/[a2222m-1x_1-5]/1/"	6m	Purple	6	Filled Circle	164.16	x-dall-HEX-1:5|6:d	6
L-Tal	L-Talose	11019447	G09259UZ	"WURCS=2.0/1,1,0/[a2221h-1x_1-5]/1/"	L	Light Blue	7	Filled Circle	180.06	x-ltal-HEX-1:5	7
